review,label,
"Pesan gofood pakai voucher niatnya biar hemat, di restonya makanan yg saya pesan habis, ganti menu lain, waktu bayar sama gojeknya malah bayar harga normal. Pffttttt merugikan, kalau mau di cancel di awal gojeknya curhat orderan sepi blablabla hadehh.. Ga semua pengguna gojek itu sultan, kaya di youtube.",Layanan Pelanggan,
Say top up ff pake codashop bayar dengan gopay tapi diamondnya tidak masuk mohon di respon saya butuh banget diamond itu untuk cheng name,Transaksi,
"Gara-gara server error saya jadi unistall, dan login ga bisa pke e-mail.",Aplikasi,
"Saya semakin bingung dengan sistem gojek. Saya butuh driver terdekat supaya tidak tunggu lama. Banyak gojek nongkrong depan jalan, malah yang dapat jauh. Terpaksa dibatalkan dan pilih offline dengan drivernya. Kalau anda mau cegah tuyul bukan mengorbankan konsumen. Tapi bangun sistem yang baik lagi. Verifikasi muka pun masih bisa diakal-akali.",Layanan Pelanggan,
"saya sangat kecewa dengan aplikasi gojek, pelayanan nya sekarang tidak memuaskan, mohon diperbaiki segera,",Layanan Pelanggan,
Paylater udah kyk pinjaman online lainnya! Bahkan lebih parah! Pake paylater 21rb bayarnya 36rb. Gila biaya langganan 15rb Paylater gak membantu sama sekali.,Layanan Pelanggan,
Foto nya jelek selfi gopay njelek hasil mohon di kroscek gojeknya go pay pluss,Aplikasi,
"Tlg diperjelas pihak gojek knpa saat saya mau memesan kok gc bisa aja,salah dimna akun saya tlg penjelasan nya pihak gojek",Aplikasi,
Tidak bisa login!!! cek koneksi terus padahal sinyal stabil.. Tolong di perbaiki..,Aplikasi,
"tolong dong untuk pembayaran melalui go-pay , jangan dipotong uang go-pay waktu pesenanan, tapi potong uang ketika barang sudah diterima, jadi todak ada kekewatiran ketika drivernya cancel pesanan dengan alasan barang sudah diterima, kalau gini bisa aja penipuan , jadi di mohon ketika potong uang go pay , ketika pesanan sudah diterima aja , jangan waktu cek out barang",Layanan Pelanggan,
"Dengan adanya wabah covid-19,saya berharap seluruh customer gojek memakai pembayaran dengan Gopay adapun yang mau kasih uang tip. Diharapkan memakai gopay, supaya tidak kontak langsung. Karena dari media uang lebih rentan penyebaran wabahnya. Diharapkan semua mengerti dalam situasi seperti ini.",Layanan Pelanggan,
Ane suka bgt ma gojek saat di pegang nadi rame orderan tp sekarang nadim pergi jd orderan anyep 1 jam 1 dah kyk anank tiri dia enak dah naik jabatan kuta yg sengsara ibarat lagu iwan flas yg berjudul bongkar cocok buat pak nadim gila jabatan,Layanan Pelanggan,
Gojek mulai hari ini tidak ramah lagi pada lansia spt saya 62 th.. tak bisa lagi tulus alamat.. hrs nunjuk peta.. bagi lansia dg mata kabur itu tidak mudah & membuat pusing.. mungkin saya kembali naik beca lagi.. krn sulitnya nunjuk peta dg tulisan yg halus lembut bagai tepung.. gojek bukan transportasi utk segala usia.. semoga gojek kembali bisa menerima tujuan dg tulis alamat kembali.. jangan buat lansia kelabakan ya.. beri lansia kenyamanan gunakan gojek.. aamiiin..,Layanan Pelanggan,
PULSA HABIS 70RB TOP UP HABIS 40RB MESEN GO FOOD HABIS 40RB Persyaratan Perubahan Data Gopay Sampai Sekarang Gak Ada Hasil Percuma Nelpon Sampai Habis 70RB Suruh Top UP 2 Kali Mesen 2 Kali Kalau Hasilnya 0 Gmana Ampun Gue Mah.. Bank Terbesar Pun Gak Ribet Kalau Minta Data Verifikasi Untuk Perubahan Data. Kenapa harus di buat ribet kan akun pribadi bukan akun orang lain. Saran buat verifikasi perubahan data gak usah ribet lah asal tau tanggal lahir nik serta perekaman suara dan nama ibu.,Akun,
"dear pengguna gojek, dan pihak gojek. hati hati jangan berikan 4 kode verifikasi gojek kepada siapapun termasuk gojek, tadi saya di iming imingi hadiah 2 juta, yang telepon cewek mirip customer service nyah, minta mencocokan data 4 kode buat hadiah. buat pihak gojek hati"" saja dalam pengaman datanya. penipuan modus hadiah semakin pintar wkwk kita nya harus lebih pintar.",Layanan Pelanggan,
